Id,compound
280035,0.8674
352210,0.8399
352212,0.5927
352216,0.9118
352221,-0.3407
352225,-0.3081
352227,-0.81
352229,0.8929
352231,0.0772
352235,0.1027
352238,0.8825
352243,0.8225
352247,0.9723
352250,0.7512
352252,0.0
352253,0.4939
352257,0.7876
352259,0.4215
352262,-0.6439
352266,-0.849
352267,0.2023
352269,-0.6435
352270,0.6369
352273,0.7579
352275,-0.0258
352277,0.6164
352278,0.8373
352284,-0.5612
352285,0.6208
352286,0.5574
352287,0.6925
352288,0.3626
352291,0.7604
352294,0.1027
352296,-0.5624
352301,0.9646
352303,0.9581
352304,0.7184
352307,0.5927
352309,0.0772
352311,0.2651
352314,-0.1516
352315,0.8074
352319,0.872
352322,0.0
352325,-0.2023
352326,0.8625
352327,0.0763
352334,-0.5849
280036,0.3612
280043,0.9109
280044,0.0
280047,-0.25
280049,-0.5927
280050,0.5499
280051,0.1406
280052,0.8777
280054,0.7905
280055,0.5267
280057,0.6412
280058,0.75
280061,-0.9883
280064,0.8705
280068,0.3743
280072,0.0
280073,0.7876
280076,0.9845
280081,0.9747
280082,0.4215
280085,0.2732
280087,0.6149
280088,0.5574
280090,0.2382
280091,-0.9212
280092,0.7506
280097,0.669
280098,0.9267
280099,0.3685
280105,0.1779
280111,0.4404
280112,-0.1531
280114,-0.34
280117,0.8905
280125,0.6705
280132,0.7003
280137,0.9458
280139,0.8999
280141,0.8966
280143,0.4019
280144,0.9185
280146,0.0
280150,0.9635
280151,0.4019
280163,0.4926
280171,0.69
280174,0.34
280179,-0.296
280181,-0.0572
280182,0.9403
352338,0.7531
352339,0.0
352347,0.6856
352349,0.2144
352350,0.8885
352353,0.8176
352355,0.7684
352363,-0.9735
352365,0.998
352366,0.9749
352367,0.4497
352374,0.7506
352378,-0.2263
352383,0.1376
352384,0.9638
352385,0.0
352386,0.0
352387,0.9743
352389,0.7227
352390,-0.3174
352398,0.128
352401,-0.0276
352404,0.7469
352406,0.9814
352407,0.0
352408,0.6929
352410,0.7613
352412,0.9075
352416,0.9761
352421,0.9873
352422,0.8294
352423,0.7088
352428,0.9513
352430,0.9041
352431,0.5974
352436,0.6808
352438,0.8088
352440,0.5719
352446,-0.6542
352450,0.3182
352451,0.8834
352452,0.5927
352454,0.128
352459,0.3612
352461,0.9761
352464,0.5228
352465,0.7717
352467,0.8834
352468,0.5228
352471,0.6144
352472,0.4404
352473,0.5859
352475,-0.5574
352477,0.9739
280184,0.7783
280185,0.9661
280188,0.8002
280189,-0.1779
280194,0.9206
280198,-0.5106
280200,-0.6597
280207,0.5994
280209,-0.1779
280210,0.9831
280219,0.8176
280220,-0.1779
280221,0.9808
280222,0.6124
280223,0.9231
280227,0.7936
280228,0.8717
280230,0.0
280233,-0.4588
280239,0.6249
280242,0.7841
280243,-0.4019
280244,-0.3595
280245,-0.9668
280246,0.936
280248,0.9335
352480,0.7541
352482,0.5423
352484,0.2062
352485,0.7783
352491,0.8988
352492,0.1406
352493,-0.9674
352498,0.7081
352504,0.4588
352505,0.1779
352506,0.6786
352508,0.6597
352512,0.775
352517,0.8074
352518,0.8201
352519,0.0
352525,0.8046
352526,0.5994
352528,0.8631
352529,0.9654
352533,0.4404
352536,0.9449
352543,-0.8126
352545,0.9643
280254,0.0258
280256,0.8731
280265,0.6858
280266,0.631
280268,0.9403
280270,0.0
280277,-0.4939
280278,0.7046
280280,-0.7189
280281,-0.2247
280285,0.8074
280287,0.2144
280289,0.8622
280293,0.9423
280297,-0.4639
280303,-0.3182
280304,0.7642
280306,0.4588
280307,-0.34
280309,0.6249
280311,0.9924
280312,0.0
280316,0.8225
280317,0.0948
280318,0.9786
280331,-0.4601
280333,0.9109
280337,0.128
280339,0.756
280341,-0.4838
280343,0.4364
280344,0.9868
280350,0.5473
280352,0.0
280354,-0.0516
280355,0.946
280356,0.4019
280358,0.7184
280359,0.7783
280361,0.3612
280362,0.4588
280364,-0.6018
280366,0.8603
280367,-0.6908
280372,0.9132
280375,-0.228
280376,-0.4588
280377,0.0
280379,0.9919
280382,0.1882
280383,0.978
280384,-0.9305
280385,0.34
352552,0.9543
352558,-0.9531
352565,0.1801
352567,0.2023
352568,-0.4926
352574,0.9607
352576,0.9979
352578,0.7574
352583,0.5574
352586,0.9247
352591,0.967
352592,-0.3818
352600,-0.3744
352601,0.1779
352610,0.3612
352611,-0.3182
352613,0.9676
352615,0.1027
352616,-0.2584
352617,0.2086
352620,0.9337
352626,0.5789
352628,0.967
352631,-0.4404
352636,0.296
352638,0.7057
352643,0.9818
352645,0.9755
352647,0.9131
352650,0.8607
352651,0.802
352652,-0.9565
352654,0.4019
352655,0.8926
352657,-0.6486
352658,-0.6597
352659,0.2263
352668,-0.0772
352674,0.973
352675,0.2714
352677,0.9325
352679,0.8481
352683,0.9008
280387,-0.8591
280393,0.743
280394,0.404
280395,0.6122
280398,0.9538
280399,-0.1627
280401,0.5267
280404,0.85
280405,0.8399
280411,0.6705
280412,0.31
280414,0.4601
280417,0.9641
280420,0.7964
280423,0.4767
280429,-0.7003
280433,0.9625
280437,-0.2568
280441,0.4939
280442,-0.0516
280443,0.986
280446,0.882
280453,0.9734
280456,-0.1531
280458,0.0
280459,0.916
280464,0.5267
280465,0.6124
280466,0.3818
280470,0.5467
280474,0.7579
280476,0.9659
280480,-0.6361
280482,0.8483
280486,0.8939
280498,0.872
280499,0.7845
280500,0.9458
352686,0.5346
352687,0.6296
352688,0.5574
352692,0.4497
352693,0.9856
352700,0.765
352710,0.9375
352714,0.6976
352720,0.9393
352722,-0.0626
352723,0.6124
352735,-0.9464
352738,0.8746
352740,0.886
352744,0.5719
352747,0.4019
352748,0.4939
352749,-0.1627
352750,0.0
352756,-0.3054
352762,0.5267
352763,0.4019
352766,0.0
352772,-0.4306
352773,0.8807
352776,0.9169
352785,0.8271
352795,-0.2354
352797,-0.5719
352801,-0.0516
352803,-0.9398
352805,0.0
352808,0.5739
352809,-0.6249
352811,0.7603
352813,0.3818
352815,-0.1759
352818,-0.3412
352820,0.6328
280502,-0.0516
280505,0.8834
280507,0.9883
280510,-0.6294
280513,0.9149
280514,-0.759
280516,0.8402
280522,0.0
280529,0.1154
280533,0.7925
280534,0.7199
280535,-0.5657
280536,0.0
280537,-0.4767
280543,0.0258
280545,0.807
280552,0.5983
280553,0.0
280568,0.5647
280578,0.1508
280584,0.4588
280589,0.8624
280590,0.4019
280591,-0.0772
352829,0.8126
352836,0.9391
352837,0.1027
352838,0.7717
352839,0.5267
352840,0.0
352843,-0.4019
352846,0.0516
352848,0.484
352850,0.5423
352854,0.4404
352858,0.9506
352863,0.8625
352866,-0.611
352867,0.4404
352868,0.0
352869,0.9372
352871,0.9259
352874,-0.1035
352877,0.8172
352878,0.0
352886,0.8717
352903,0.9478
352906,0.7603
352907,0.9101
352915,0.7003
352916,0.8271
352917,0.3182
352918,0.743
352919,-0.4633
352922,0.6461
352924,0.9709
352925,0.3818
352928,0.5127
352931,0.7969
352936,-0.1406
352938,-0.3089
352939,0.6486
352941,0.1027
352942,0.0772
352949,0.7876
352952,0.9601
280592,0.34
280593,0.2023
280594,-0.9265
280597,0.7391
280598,0.6908
280606,-0.9589
280607,0.9319
280611,0.9167
280613,0.8271
280615,0.6352
280616,0.7579
280617,-0.4404
280619,0.9565
280623,0.9013
280626,-0.743
280628,0.5344
280633,0.6369
280634,-0.1779
280645,0.2031
280651,0.9596
280654,0.907
280659,0.875
280661,0.4404
280665,0.9137
280666,0.0
280667,0.7845
280674,0.9547
280675,0.7579
280676,0.4215
280678,0.7089
280680,0.8618
280681,0.6705
280684,-0.4473
280692,0.9872
280695,-0.1229
280702,-0.3491
280709,0.9685
280711,0.0772
280712,-0.128
280713,0.1796
280714,0.4215
280715,0.6486
352956,0.6369
352957,0.7705
352958,0.9866
352959,0.9538
352963,0.0129
352966,-0.3506
352970,0.296
352973,0.722
352975,0.7676
352976,0.8671
352977,-0.128
352982,0.9325
352986,0.4767
352987,0.8261
352992,0.7845
352995,0.9775
352999,0.9365
353001,0.4404
353005,-0.5509
353008,0.7003
353012,-0.6652
353013,-0.7239
353020,0.0
353021,0.6652
353026,0.0
353028,0.7391
353031,0.6504
353034,0.5023
353035,-0.0644
353039,0.7534
353041,0.7242
353042,0.6249
353044,0.9665
353046,0.5927
353050,-0.5994
353055,0.3818
353056,0.9879
353060,0.7677
353067,0.9324
353068,0.0
353070,0.5905
353071,-0.0577
353072,0.4549
353075,0.9362
353076,0.7096
353077,0.0
280723,0.4588
280724,-0.3612
280725,-0.8689
280729,-0.9649
280740,0.9371
280742,-0.6054
280746,0.0
280755,0.6124
280757,0.6757
280763,0.6114
280764,0.5574
280770,0.8271
280773,0.8873
280774,0.4497
280785,0.0258
280787,0.1027
280807,0.3045
280808,0.9918
280809,0.5187
280813,0.8765
280815,0.3612
280817,0.68
280823,0.5305
280829,0.9386
280830,0.9871
280831,0.9571
280832,0.9794
280838,0.8842
280841,0.875
280843,0.9831
280844,0.6202
280845,0.1557
280851,0.9509
280852,0.875
280863,-0.7245
280864,0.8991
280871,-0.6115
280874,0.0
280885,0.7096
280892,0.7807
280893,0.6996
280899,0.4019
280900,0.8979
280906,0.7061
280910,-0.7394
280911,0.6486
280914,0.1179
280917,0.7935
280920,0.8555
280923,0.3612
280925,0.6486
280926,0.872
280929,-0.0877
280932,0.2144
280934,0.8442
280939,-0.9064
280941,0.7526
280943,0.818
280946,0.9582
280947,-0.0869
280950,0.3182
280954,0.872
280956,0.4588
280958,0.1531
280961,-0.5023
280963,0.0772
280966,0.9349
280970,0.2263
280975,0.967
280976,0.0
280977,0.6369
280980,0.6249
280984,0.743
280986,0.0
353081,0.9824
353082,-0.3472
353083,0.0
353084,0.0
353085,0.0
353090,-0.5106
353094,-0.1761
353095,0.9574
353099,0.8175
353106,0.0
353107,-0.296
353110,0.9816
353112,0.5719
353114,-0.1779
353116,0.6597
353117,0.9681
353120,0.6287
353129,0.0
353130,0.8074
353133,0.9192
353136,0.8658
353137,0.7086
353138,0.7921
353141,0.9931
353146,-0.4622
353148,-0.8746
353149,0.5267
353150,0.9186
353151,0.6808
353156,-0.5248
353162,0.9245
353164,0.8402
353166,-0.25
353168,0.6369
353169,0.9975
353170,-0.5677
353172,-0.2484
280991,0.9097
280992,-0.3612
280993,0.0
280995,0.4924
280999,0.9878
281000,-0.4767
281007,0.6124
281013,0.975
281015,0.7424
281021,-0.1779
281022,-0.5859
281023,-0.631
281026,0.7408
281027,0.8193
281031,0.7184
281036,0.4939
281042,0.9857
281045,0.6712
281048,0.2978
281049,0.3071
281051,0.0
281060,0.9423
281064,0.7633
281069,0.9622
281072,0.2154
281074,-0.4523
353176,0.4767
353185,-0.5428
353192,0.963
353203,0.8196
353204,0.6163
353205,0.0516
353207,0.25
353208,0.5724
353210,0.743
353213,0.8497
353214,0.8765
353215,0.8221
353216,-0.3647
353218,0.296
353219,-0.1027
353220,0.5927
353224,0.8439
353225,0.0
353229,0.8442
353230,0.8481
353231,0.0
353240,0.0
353245,0.7351
353247,0.3182
353249,0.0772
353256,0.71
353258,0.8674
353262,0.4588
353263,-0.2023
353264,0.6705
353267,-0.1412
353270,-0.7082
353272,-0.8097
353273,0.4767
353274,-0.5911
353276,0.0
353278,0.5994
353281,-0.7184
353283,0.9209
353284,0.0772
353293,0.9774
353297,0.3388
353298,-0.5297
353300,0.9751
353308,0.4767
353312,-0.4588
353317,0.9186
353320,0.9772
281075,0.96
281076,0.836
281078,0.5673
281087,0.0258
281088,0.5667
281090,0.791
281091,0.4213
281092,0.9174
281093,0.3818
281094,0.9464
281099,0.6486
281101,0.5994
281103,0.0
281108,0.5106
281110,-0.128
281111,-0.1761
281115,0.4372
281116,0.7616
281119,0.3691
281121,0.296
281122,-0.3491
281123,-0.3506
281127,0.4228
281129,-0.7841
281132,0.131
281133,0.0
281139,0.7474
281143,0.9436
281146,0.0
281150,0.802
281156,0.6369
353321,0.8311
353322,0.6369
353323,-0.3071
353325,0.5267
353337,0.09
353339,0.7776
353347,0.9719
353352,0.7708
353355,0.989
353360,0.9938
353365,-0.8573
353368,0.0
353371,0.0
353372,0.8201
353373,-0.1779
353379,-0.0644
353380,0.9118
353381,0.6956
353384,0.9784
353386,0.9169
353393,-0.284
353395,0.0258
353400,0.8271
353406,-0.2263
353410,0.8402
353412,0.9151
281159,-0.8895
281160,-0.9128
281162,0.8625
281166,-0.0258
281167,0.4939
281169,0.7096
281171,0.8341
281177,0.8479
281180,-0.0552
281182,0.0
281183,0.7096
281185,0.9485
281193,-0.1027
281198,0.0534
281199,0.2449
281200,0.3482
281208,0.7579
281212,0.9201
281213,-0.5859
281214,0.8079
281224,0.9698
281228,0.5456
281231,-0.8232
281232,0.9576
281234,0.9052
281235,0.903
281236,-0.2608
281237,0.8519
281239,-0.6353
281240,0.9313
281241,-0.8717
281243,0.9201
281247,0.5023
281253,-0.2408
353415,0.9416
353416,0.9307
353418,0.7783
353425,0.433
353429,0.2023
353431,0.9268
353436,-0.5602
353439,0.6103
353440,-0.5771
353442,0.7088
353444,0.5267
353450,-0.5267
353452,-0.9006
353460,0.6369
353461,0.9485
353462,-0.4442
353465,-0.7783
353466,0.9468
353475,0.3949
353479,-0.296
353483,0.5927
353486,0.0
353488,0.8885
353489,0.9299
353490,0.0599
353491,0.5574
353492,0.8934
353498,0.128
353500,0.8908
353503,0.5994
353505,-0.7133
281258,0.4404
281261,-0.4215
281265,-0.4215
281269,0.9161
281270,-0.7269
281273,0.3818
281278,0.9649
281282,0.0772
281283,-0.0772
281287,0.2617
281288,-0.3089
281289,0.5023
281290,-0.6597
281293,0.9731
281294,0.9535
281295,0.0
281296,0.9248
281298,0.7003
281304,0.9845
281309,0.0
281318,-0.5574
281319,0.7391
281321,0.9109
281323,-0.9201
281324,0.9946
281327,0.7184
281330,0.849
281332,0.9349
281333,0.3225
281334,0.5883
281339,0.7227
281340,0.6597
353506,0.9605
353511,0.3384
353519,-0.5859
353527,0.7579
353528,0.7351
353530,0.8979
353532,0.8885
353533,0.7227
353535,0.7351
353538,0.25
353539,0.0147
353542,0.5423
353544,0.6428
353547,0.9627
353549,-0.6249
353550,0.949
353552,0.891
353554,0.0
353560,0.3612
353563,0.6808
353565,0.0
353568,0.8571
353569,0.6643
353570,0.3716
353573,0.9259
353574,0.128
353594,0.8865
353595,0.5789
353596,0.9393
353601,0.899
353604,0.5065
353607,0.9643
353609,0.0
281345,0.6542
281354,0.2263
281356,0.1027
281357,0.8588
281362,0.3612
281365,0.9268
281369,0.9809
281371,-0.7899
281372,0.4767
281375,0.7131
281376,0.8176
281382,0.0387
281389,0.8928
281392,-0.8258
281393,0.6709
281395,0.8294
281396,0.5426
281402,0.0
281404,0.5647
281406,0.4767
281407,0.8122
281410,0.296
281412,0.6801
281420,-0.765
281429,0.6328
281430,0.8919
281434,0.6049
281436,-0.7457
281440,0.8689
281443,0.8769
281444,0.8462
281449,-0.9275
281455,0.6249
281462,-0.2617
281463,0.7506
281464,0.0387
281468,0.899
281469,0.9678
281473,0.8739
281476,0.9113
353610,-0.2263
353612,0.7906
353615,0.6786
353616,-0.6597
353617,0.827
353623,0.8957
353633,0.0
353634,0.982
353635,0.765
353640,-0.7177
353642,0.5994
353643,0.0258
353645,-0.8353
353646,0.891
353650,0.9516
353652,0.8945
353654,0.6414
353655,0.9165
353663,0.296
353669,0.932
353671,0.9265
353673,0.7783
353677,0.4588
353680,0.1254
353682,0.8038
353684,0.7906
353685,0.0
353686,0.5849
353688,0.9468
353690,0.8225
353691,-0.8331
353692,-0.6428
281482,0.1406
281483,0.0676
281496,0.3612
281497,0.9859
281498,0.9875
281504,0.765
281507,-0.5106
281511,0.6908
281512,0.9002
281514,0.8733
281516,0.5023
281522,0.9642
281524,0.9398
281526,0.8956
281527,0.9834
281528,-0.4939
281529,0.8904
281530,0.0772
281541,0.8248
281542,0.7579
281545,-0.5574
281548,0.0
281553,-0.85
281557,0.7609
281562,0.9966
281563,0.4854
281566,0.5574
281569,0.9396
281573,0.4019
281575,0.154
281577,0.1027
281579,0.6348
281582,0.0
281590,0.1779
281592,-0.4215
353695,-0.1531
353699,0.9422
353700,0.0
353702,0.0
353706,0.8963
353708,0.7344
353710,-0.8555
353716,0.3612
353722,0.0
353723,0.296
353726,0.0772
353729,-0.2467
353735,0.6249
353744,0.34
353746,-0.3134
353748,0.2023
353750,0.6858
353756,-0.141
353760,-0.3182
353761,0.946
353767,0.9531
353770,-0.1027
353774,0.7506
353775,0.5235
353776,-0.1531
353778,0.7422
353779,-0.1307
353780,0.9622
353784,0.5859
353786,-0.4767
353787,-0.0969
353792,-0.1872
353800,0.9899
353801,0.596
281596,0.9294
281599,0.9556
281601,0.714
281604,0.9649
281607,-0.5346
281609,-0.9414
281610,0.6262
281618,-0.5989
281619,0.9489
281620,0.8176
281623,0.9395
281624,0.8917
281633,0.5917
281635,0.5574
281636,0.2944
281637,0.4588
281641,0.9201
281642,0.9502
281644,0.8718
281646,0.636
281652,0.0
281653,0.0
281654,-0.733
281662,-0.6369
281664,0.0
281666,0.631
281669,0.4019
281673,0.8591
281676,-0.1896
281678,0.0772
281682,0.5267
281683,0.4574
281694,0.2263
281695,0.8336
281702,0.0
281705,0.53
281706,0.8999
281707,0.8402
281715,-0.9658
281717,0.8151
281723,0.5574
281735,-0.4767
281739,-0.0418
281741,0.8271
281743,0.6249
281744,0.9623
281745,0.9841
281746,0.936
353803,0.9899
353806,0.7808
353807,-0.2023
353812,0.4588
353817,0.9318
353818,0.4019
353819,0.5994
353823,0.9116
353827,0.6476
353828,0.8768
353830,0.7876
353833,0.7345
353834,0.8519
353835,0.2942
353841,0.0
353844,0.0387
353845,-0.34
353846,-0.4224
353848,0.8197
353857,0.7482
353865,-0.25
353867,0.9745
353871,-0.6359
281753,0.9835
281754,0.6705
281757,0.7096
281758,0.9423
281760,0.8625
281761,0.4019
281766,0.6808
281769,0.0
281777,0.7171
281779,0.0
281780,0.6369
281781,0.9258
281782,-0.1531
281783,0.6652
281785,0.9366
281799,0.4926
281801,0.6486
281803,0.5719
281809,0.8058
281813,-0.5574
281814,0.3182
281819,0.9432
281825,0.9327
281827,0.0772
281829,-0.8387
281833,0.9817
353875,0.841
353879,-0.7754
353880,0.9497
353884,-0.25
353885,0.9229
353886,-0.664
353887,0.9411
353892,0.8885
353893,0.3612
353899,0.7264
353904,-0.6597
353907,0.0772
353909,0.791
353922,0.4588
353924,-0.2225
353926,0.6652
353930,0.0516
353935,-0.7004
353937,0.8221
353938,0.0
353939,0.8462
353945,-0.4404
353950,0.7887
353954,0.9105
353955,0.9539
353956,0.4019
353972,-0.1531
353973,-0.0516
353974,-0.1901
281835,-0.7775
281838,0.9324
281839,0.7655
281841,0.9406
281844,0.3612
281845,-0.7785
281848,0.4939
281853,0.9664
281855,-0.7003
281856,0.1027
281857,0.9377
281858,0.0
281859,0.6956
281864,0.886
281865,0.9865
281867,-0.9899
281868,0.9648
281871,0.5423
281873,0.1154
281878,0.0
281880,0.4767
281881,0.5851
281882,-0.9602
281883,0.9097
281886,0.4574
281887,0.1531
281895,-0.8658
281900,0.9274
281901,0.1663
281903,-0.3071
281905,0.34
281913,0.9106
353975,-0.6361
353976,0.7226
353981,-0.8625
353983,0.0772
353984,-0.7678
353985,0.9349
353993,0.7506
353995,0.4404
353999,0.9265
354000,0.6369
354002,0.8957
354003,0.9855
354005,-0.6854
354006,0.8673
354010,0.431
354017,0.122
354019,0.5927
354020,0.9394
354023,0.5859
354030,0.9694
354032,0.8022
354035,-0.1531
354043,0.3182
354046,0.5267
354049,0.1027
354051,-0.765
354053,0.8096
354055,0.0
354056,0.8798
354058,0.7351
354060,0.7147
354063,0.914
354066,0.4215
354071,0.1376
354072,0.7088
281916,0.8736
281921,0.5249
281923,0.0
281926,-0.8578
281928,0.9882
281931,-0.1779
281934,0.6369
281935,0.8906
281938,0.269
281940,-0.3589
281941,0.6893
281945,-0.8338
281946,0.6415
281948,0.9814
281949,0.34
281960,0.944
281963,0.9156
281964,0.0
281969,0.2023
281971,-0.885
281974,0.8555
281984,0.8271
281989,0.978
281990,0.5799
281995,0.0
282002,0.9657
282004,0.4404
282009,0.9459
282010,0.5994
282014,-0.0258
282017,0.9409
282022,0.1531
282024,-0.3612
354078,0.3612
354082,0.3612
354084,0.97
354088,0.8056
354090,0.2144
354091,0.4304
354098,0.9169
354103,0.9819
354104,-0.4852
354105,0.4536
354106,0.4678
354107,0.6124
354108,0.979
354111,-0.0772
354114,-0.3919
354115,0.9629
354118,0.2912
354121,0.8519
354124,0.9619
354125,0.6648
354129,-0.0129
354133,0.7102
354146,0.85
354150,-0.7648
354155,0.2244
354157,-0.4019
354158,-0.6124
354159,0.7269
354161,0.8126
354164,0.25
354165,-0.2732
354168,0.1057
282030,-0.2732
282035,0.746
282041,0.624
282042,-0.3597
282043,0.8817
282046,0.7809
282047,0.3798
282048,0.7501
282050,0.2055
282055,-0.9754
282058,-0.8327
282062,-0.1007
282063,0.4215
282069,0.9794
282070,0.7912
282074,0.765
282075,0.9662
282078,0.8748
282079,0.93
282082,0.1845
282087,0.9965
282090,0.2481
282091,-0.2244
282094,0.9313
282095,0.1901
282103,0.1531
282104,0.9096
282108,-0.7043
282112,0.902
282119,0.6757
282120,0.4404
282123,0.6428
282125,-0.2732
282127,0.6745
282129,0.86
282130,0.9637
282131,0.2716
282132,0.8555
282133,0.9584
354188,0.5719
354190,0.9781
354191,0.8481
354199,0.8057
354202,0.9042
354207,0.3818
354209,0.0
354213,0.2732
354214,0.875
354215,0.0279
354219,-0.4216
354220,-0.4767
354228,-0.0939
354235,0.8591
354237,0.3246
354238,0.2398
354241,0.0
354248,-0.7193
354249,0.9862
354251,0.6817
354254,0.8381
354257,0.7865
354259,0.2673
354274,0.0
354279,0.3657
354280,0.7783
354291,0.8271
354292,0.9643
282141,-0.2244
282143,0.5927
282150,0.0
282152,0.9178
282154,0.9736
282156,0.25
282160,0.0772
282164,0.4199
282165,0.958
282172,0.7933
282177,0.6124
282179,-0.5859
282180,0.9902
282181,0.636
282188,-0.4939
282189,-0.0996
282190,-0.296
282194,0.0387
282197,0.7524
282199,0.802
282200,0.9726
282206,0.9636
282207,0.5898
282208,0.9274
282213,0.4019
282214,-0.4666
282226,0.4588
282235,0.3612
282238,-0.0633
282241,0.6908
282246,0.0
354293,0.5023
354295,-0.1225
354297,-0.4019
354301,0.9313
354305,0.8945
354306,0.0772
354311,0.2263
354316,0.7959
354318,-0.0516
354320,-0.8519
354322,-0.9387
354325,0.2023
354326,0.7891
354327,0.7482
354331,0.8555
354336,0.9552
354340,0.1779
354342,0.9306
354345,-0.296
354352,-0.3167
